Beat;Distrito
111;1
112;1
113;1
114;1
121;1
122;1
123;1
124;1
131;1
132;1
133;1
211;2
212;2
213;2
214;2
215;2
221;2
222;2
223;2
224;2
225;2
231;2
232;2
233;2
234;2
235;2
311;3
312;3
313;3
314;3
321;3
322;3
323;3
324;3
331;3
332;3
333;3
334;3
411;4
412;4
413;4
414;4
421;4
422;4
423;4
424;4
431;4
432;4
433;4
434;4
511;5
512;5
513;5
522;5
523;5
524;5
531;5
532;5
533;5
611;6
612;6
613;6
614;6
621;6
622;6
623;6
624;6
631;6
632;6
633;6
634;6
711;7
712;7
713;7
714;7
715;7
722;7
723;7
724;7
725;7
726;7
731;7
732;7
733;7
734;7
735;7
811;8
812;8
813;8
814;8
815;8
821;8
822;8
823;8
824;8
825;8
831;8
832;8
833;8
834;8
835;8
911;9
912;9
913;9
914;9
915;9
921;9
922;9
923;9
924;9
925;9
931;9
932;9
933;9
934;9
935;9
1011;10
1012;10
1013;10
1014;10
1021;10
1022;10
1023;10
1024;10
1031;10
1032;10
1033;10
1034;10
1111;11
1112;11
1113;11
1114;11
1115;11
1121;11
1122;11
1123;11
1124;11
1125;11
1131;11
1132;11
1133;11
1134;11
1135;11
1211;12
1212;12
1213;12
1214;12
1215;12
1221;12
1222;12
1223;12
1224;12
1225;12
1231;12
1232;12
1233;12
1234;12
1235;12
1411;14
1412;14
1413;14
1414;14
1421;14
1422;14
1423;14
1424;14
1431;14
1432;14
1433;14
1434;14
1511;15
1512;15
1513;15
1522;15
1523;15
1524;15
1531;15
1532;15
1533;15
1611;16
1612;16
1613;16
1614;16
1621;16
1622;16
1623;16
1624;16
1631;16
1632;16
1633;16
1634;16
1651;16
1652;16
1653;16
1654;16
1655;16
1711;17
1712;17
1713;17
1722;17
1723;17
1724;17
1731;17
1732;17
1733;17
1811;18
1812;18
1813;18
1814;18
1821;18
1822;18
1823;18
1824;18
1831;18
1832;18
1833;18
1834;18
1911;19
1912;19
1913;19
1914;19
1915;19
1921;19
1922;19
1923;19
1924;19
1925;19
1931;19
1932;19
1933;19
1934;19
1935;19
2011;20
2012;20
2013;20
2022;20
2023;20
2024;20
2031;20
2032;20
2033;20
2211;22
2212;22
2213;22
2221;22
2222;22
2223;22
2232;22
2233;22
2234;22
2411;24
2412;24
2413;24
2422;24
2423;24
2424;24
2431;24
2432;24
2433;24
2511;25
2512;25
2513;25
2514;25
2515;25
2521;25
2522;25
2523;25
2524;25
2525;25
2531;25
2532;25
2533;25
2534;25
2535;25
3100;31
